Ticket_ID,Parent_Ticket,Linked_Ticket,Timestamp,Region,Sub_Region,Device_Model,Platform,Vendor_Version,App_Version,Middleware_Version,Raw_Firmware_String,Raw_Log_Entry,Error_Code,Failure_Category,Boot_Time_ms,CPU_Temp_C,Log_Size_MB,Ticket_Status,Resolution_Days,Resolved_By
RDKEVD-6568,,,2026-01-01T00:12:58.000Z,UK,Birmingham,Apache-2K,Amlogic,2.11.0,4.44.0,8.6.0.0,"imagename: XUSHTC11MWR_FULLSTACK-TEST_DEV_default_20251125000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.11.0  APPLICATION_VERSION=4.44.0  MIDDLEWARE_VERSION=8.6.0.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-11-25 00:00:00""","kernel: meson-remote ff308040.rc: ir_xmp_get_scancode code: [0x991eb1c]
kernel: evbug: Event. Dev: input0, Type: 1, Code: 105, Value: 1
controlMgr [6940]: CTRLM TELE: ctrlm_ir_key_monitor_thread: INFRARED_CONTROLLER code = <105> (Key_Left), status = <DOWN>
com.sky.as.apps_com.bskyb.epgui [6940]: MainView.log: keyEvent keycode: Key_Left ""0x01000012 (Key_Left)""",IRKEY_105,IR Key — Wrong Mapping,26848,57,0.96,New,,Device Engineering
RDKEVD-5108,RDKTV-30100,RDKTV-30102,Jan 01 2026 01:39:23,UK,Bristol,APACHE_4K,Amlogic,2.12.0,4.48.1,8.5.0.0,"imagename: XUSPTC11MWR_FULLSTACK-TEST_DEV_default_20250916000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.12.0  APPLICATION_VERSION=4.48.1  MIDDLEWARE_VERSION=8.5.0.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-09-16 00:00:00""","WPEFramework [8706]: SIGABRT received in wpeframework pid=8706 — core dumped to /opt/logs/core_wpeframework
WPEFramework [8706]: Plugin Netflix state=ERROR reason=CRASH exitcode=-11
WPEFramework [8706]: WPEFramework watchdog timeout after 30s — initiating restart",WPEF_SIGABRT,WPEFramework Crash,25717,86,0.83,Resolved,12,Platform Team
RDKEVD-8455,,RDKTV-31544,2026-01-01T02:35:14.000Z,UK,Bristol,Apache-2K,Amlogic,2.11.0,4.46.1,8.5.0.0,"imagename: XUSHTC11MWR_FULLSTACK-TEST_DEV_default_20251125000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.11.0  APPLICATION_VERSION=4.46.1  MIDDLEWARE_VERSION=8.5.0.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-11-25 00:00:00""","WPEFramework [7114]: [6106] INFO [SystemServices.cpp:2476] getLastWakeupKeyCode: response={""wakeupkeyCode"":410,""success"":true}
kernel: meson-remote ff308848.rc: ir_xmp_get_scancode code: [0x5072d9f]
kernel: meson-remote ff308040.rc: ir_do_keydown: non tagged remote key pressed!!!
controlMgr [7114]: CTRLM TELE: ctrlm_ir_key_monitor_thread: INFRARED_CONTROLLER code = <410> (Key_YouTube), status = <DOWN>
controlMgr [7114]: ctrlm_main_thread: Enter power state <ON>",WAKE_410,IR Wake — Spurious,22902,57,0.62,Resolved,7,BSP Team
RDKEVD-5215,,,2026-01-01T02:40:33.000Z,UK,Manchester,Hisense-V2,Amlogic,2.14.0,4.48.1,8.5.0.0,"imagename: HSTP12MWR_FULLSTACK-TEST_DEV_default_20251212000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.14.0  APPLICATION_VERSION=4.48.1  MIDDLEWARE_VERSION=8.5.0.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-12-12 00:00:00""","NPEFramework [8075]: SIGABRT received in wpeframework pid=8075 — core dumped to /opt/logs/core_wpeframework
NPEFramework [8075]: Plugin DisneyPlus state=ERROR reason=CRASH exitcode=-11
NPEFramework [8075]: WPEFramework watchdog timeout after 30s — initiating restart",WPEF_WATCHDOG,WPEFramework Crash,42590,88,0.75,Testing,,BSP Team
RDKEVD-9405,,,2026-01-01T02:51:33.000Z,UK,Bristol,Pioneer-V22K,Amlogic,2.12.0,4.47.0,8.5.0.0,"imagename: XUSHTB11MWR_FULLSTACK-TEST_DEV_default_20251030000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.12.0  APPLICATION_VERSION=4.47.0  MIDDLEWARE_VERSION=8.5.0.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-10-30 00:00:00""","NPEFramework [6804]: [6046] INFO [PowerManagerImplementation.cpp:610] GetLastWakeupKeyCode: << Wakeup keycode: 11, error
NPEFramework [6804]: [6046] WARN [SystemServices.cpp:2473] getLastWakeupkeyCode WakeupkeyCode: 11
kernel: meson-remote ff888040.rc: ir_xmp_get_scancode code: [0x5097c1]
kernel: meson-remote ff308040.rc: ir_do_keydown: non tagged remote key pressed!!!
kernel: evbug: Event. Dev: input0, Type: 1, Code: 11, Value: 1
controlMgr [6804]: CTRLM TELE: ctrlm_ir_key_monitor_thread: INFRARED_CONTROLLER code = <11> (Key_0), status = <DOWN>
com.sky.as.apps_com.bskyb.epgui [6804]: StandbyScene.log: ""Wake Reason RCU with trigger RCU key"" ""Key_0""
com.sky.as.apps_com.bskyb.epgui [6804]: SystemModel.log: ""The wake reason should always be defined, if it is not, please fix it""",WAKE_UNCONFIG_11,IR Wake — Unconfigured Key,41143,39,0.54,Resolved,,Device Engineering
RDKEVD-9691,,,2026-01-01T05:09:35.000Z,UK,Birmingham,Sharp-MTK,MediaTek,3.03.0,4.49.0,8.5.2.0,"imagename: SHUHTS11TEI_FULLSTACK-TEST_DEV_default_20250929000000  OSS_VERSION=4.9.0  VENDOR_VERSION=3.03.0  APPLICATION_VERSION=4.49.0  MIDDLEWARE_VERSION=8.5.2.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-09-29 00:00:00""","controlMgr [8246]: CTRLM TELE: ctrlm_ir_key_monitor_thread: INFRARED_CONTROLLER code = <106> (Key_Right), status = <DOWN>
WPEFramework [8246]: [6378] WARN [SystemServices.cpp:2473] getLastWakeupkeyCode WakeupkeyCode: 106
com.sky.as.apps_com.bskyb.epgui [8246]: MainView.log: keyEvent keycode: Key_Right ""0x01000014 (Key_Right)""
com.sky.as.apps_com.bskyb.epgui [8246]: StandbyScene.log: ""Standby handlePowerkeys: 01000014 key Down : 1""",IRKEY_106,IR Key — Wrong Mapping,25748,-1,0.44,In Progress,,Device Engineering
RDKEVD-5693,RDKTV-30384,RDKTV-30387,2026-01-01T06:41:53.000Z,UK,London,HisenseV2,Amlogic,2.13.0,4.48.1,8.6.0.0,"imagename: HSTP12MWR_FULLSTACK-TEST_DEV_default_20251107000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.13.0  APPLICATION_VERSION=4.48.1  MIDDLEWARE_VERSION=8.6.0.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-11-07 00:00:00""","kernel: meson-remote ff308848.rc: ir_xmp_get_scancode code: [0x75549d5]
kernel: evbug: Event. Dev: input0, Type: 1, Code: 108, Value: 1
controlMgr [8886]: CTRLM TELE: ctrlm_ir_key_monitor_thread: INFRARED_CONTROLLER code = <108> (Key_Down), status = <DOWN>
com.sky.as.apps_com.bskyb.epgui [8886]: MainView.log: keyEvent keycode: Key_Down ""0x01000015 (Key_Down)""",IRKEY_108,IR Key — Wrong Mapping,28929,68,0.21,Closed,7,Platform Team
RDKEVD-6155,,,2026-01-01T07:35:41.000Z,UK,Birmingham,Sharp-MTK,MediaTek,3.03.0,4.50.0,8.4.1.0,"imagename: SHUHTS11TEI_FULLSTACK-TEST_DEV_default_20250911000000  OSS_VERSION=4.9.0  VENDOR_VERSION=3.03.0  APPLICATION_VERSION=4.50.0  MIDDLEWARE_VERSION=8.4.1.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-09-11 00:00:00""","MPEFramework [6708]: [6616] INFO [PowerManagerImplementation.cpp:602] GetLastWakeupKeyCode: >>
MPEFramework [6708]: [6616] INFO [DeepSleepImpl.h:182] GetLastWakeupKeyCode: wakeupkeyCode: 411, status: Success
controlMgr [6708]: CTRLM TELE: ctrlm_ir_key_monitor_thread: INFRARED_CONTROLLER code = <411> (Key_XumoTV), status = <DOWN>
controlMgr [6708]: ctrlm_main_thread: Enter power state <ON>",WAKE_411,IR Wake — Spurious,22770,61,0.13,Resolved,,Device Engineering
RDKEVD-9127,,,2026-01-01T08:30:07.000Z,UK,Manchester,apch-4k,Amlogic,2.12.0,4.49.0,8.4.1.0,"imagename: XUSPTC11MWR_FULLSTACK-TEST_DEV_default_20251216000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.12.0  APPLICATION_VERSION=4.49.0  MIDDLEWARE_VERSION=8.4.1.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-12-16 00:00:00""","kernel: EXT4-fs error (device mmcblk0p10): ext4_find_entry:1455: inode #2: comm logrotate: reading directory lblock 0
kernel: EXT4-fs error: No space left on /opt device — write failed
kernel: Kernel panic - not syncing: VFS: Unable to mount root fs",RBT_KP_SOFTLOCK,Kernel Panic — OOM,30203,85,1.31,Resolved,7,Device Engineering
RDKEVD-5759,RDKTV-30414,,2026-01-01T09:50:24.000Z,UK,London,Pioneer-V22K,Amlogic,2.11.0,4.46.1,8.5.2.0,"imagename: XUSHTB11MWR_FULLSTACK-TEST_DEV_default_20251129000000  OSS_VERSION=4.9.0  VENDOR_VERSION=2.11.0  APPLICATION_VERSION=4.46.1  MIDDLEWARE_VERSION=8.5.2.0  YOCTO_VERSION=kirkstone  SDK_VERSION=5.1  FW_CLASS=rdke  BUILD_TIME=""2025-11-29 00:00:00""",WPEFramework [8495]: Anomaly self-recovered — monitoring,NULL,No Repro / Other,36398,47,0.65,Resolved,2,Device Engineering
